Órgão,Unidade Gestora,Número Contrato,Fornecedor,Vig. Início,Vig. Fim,Valor Global,Núm. Parcelas,Valor Parcela,ministerio
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00004/2021,"07.223.271/0001-55 - CONNECTA - CONSULTORIA, COMERCIO E SERVICOS DE INFORMATICA LTDA",10/02/2021,10/02/2022,"R$ 301.530,00",1,"R$ 301.530,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00027/2021,07.178.322/0001-74 - EQUILIBRIUM WEB SERVICOS DE INFORMATICA LTDA,29/12/2021,29/10/2024,"R$ 390.600,00",12,"R$ 32.550,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00022/2022,59.717.553/0006-17 - GRUPO MULTI S.A,27/12/2022,27/12/2023,"R$ 6.900,00",1,"R$ 6.900,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,2024NE000098,33.683.111/0001-07 - SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),30/07/2024,31/12/2024,"R$ 847,35",1,"R$ 847,35",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00002/2023,04.198.254/0001-17 - MCR SISTEMAS E CONSULTORIA LTDA,18/05/2023,18/05/2026,"R$ 56.620,00",1,"R$ 56.620,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00027/2024,03.822.909/0001-13 - CONNECTOWAY SOLUCOES INTELIGENTES EM TECNOLOGIA S.A,23/09/2024,23/09/2029,"R$ 136.314,00",1,"R$ 136.314,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00022/2024,09.298.794/0001-96 - POWER TEC TECNOLOGIA EM INFORMATICA LTDA,19/08/2024,19/08/2027,"R$ 36.000,00",1,"R$ 36.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,2024NE000189,20.040.746/0001-36 - M3 COMERCIO  SOFTWARE LTDA,09/12/2024,09/12/2025,"R$ 54.450,00",1,"R$ 54.450,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00023/2022,81.243.735/0009-03 - POSITIVO TECNOLOGIA S.A.,29/12/2022,29/12/2023,"R$ 160.356,00",1,"R$ 160.356,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00024/2023,81.243.735/0009-03 - POSITIVO TECNOLOGIA S.A.,16/10/2023,16/10/2024,"R$ 57.270,00",1,"R$ 57.270,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00026/2023,81.243.735/0019-77 - POSITIVO TECNOLOGIA S.A.,26/10/2023,26/10/2024,"R$ 46.241,00",1,"R$ 46.241,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00025/2023,81.243.735/0009-03 - POSITIVO TECNOLOGIA S.A.,26/10/2023,26/10/2024,"R$ 54.138,00",1,"R$ 54.138,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00024/2022,81.243.735/0019-77 - POSITIVO TECNOLOGIA S.A.,29/12/2022,29/12/2023,"R$ 42.684,00",1,"R$ 42.684,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240125 - MPEG/MCTI,00028/2023,04.198.254/0001-17 - MCR SISTEMAS E CONSULTORIA LTDA,10/11/2023,10/11/2026,"R$ 14.155,00",1,"R$ 14.155,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,00003/2025,22.323.856/0001-30 - ELYSION COMPUTACAO INTEGRADA LTDA,27/04/2025,26/04/2026,"R$ 10.000,00",1,"R$ 10.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,10007/2025,02.318.005/0001-92 - SIA SISTEMAS DE INFORMATICA E AUTOMACAO LTDA,14/05/2025,13/05/2026,"R$ 14.950,00",1,"R$ 14.950,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,00009/2024,01.712.235/0001-79 - BENTLEY SYSTEMS BRASIL LTDA,23/10/2024,22/10/2025,"R$ 71.709,03",1,"R$ 71.709,03",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,10006/2025,60.455.193/0001-05 - OPENCADD ADVANCED TECHNOLOGY COMERCIO E SERVICOS LTDA,02/05/2025,01/05/2026,"R$ 34.902,00",1,"R$ 34.902,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,00010/2024,02.423.535/0001-09 - BLOCKBIT TECNOLOGIA LTDA,07/11/2024,07/11/2025,"R$ 169.688,53",1,"R$ 169.688,53",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,00016/2024,11.013.199/0001-09 - INT PRINT SERVICOS DE INFORMATICA LTDA,13/12/2024,13/03/2025,"R$ 56.500,00",1,"R$ 56.500,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,10004/2025,23.692.857/0001-15 - LATAMSUL IMPORTACAO SERVICOS E COMERCIO DE ELETRONICOS LTDA.,20/02/2025,20/02/2026,"R$ 8.018,00",1,"R$ 8.018,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240126 - ON/MCTI,10044/2023,23.692.857/0001-15 - LATAMSUL IMPORTACAO SERVICOS E COMERCIO DE ELETRONICOS LTDA.,26/12/2023,25/12/2024,"R$ 12.750,00",1,"R$ 12.750,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240127 - CETEM/MCTI,00002/2024,61.797.924/0002-36 - HEWLETT-PACKARD BRASIL LTDA,01/04/2024,01/04/2025,"R$ 1.199.999,52",12,"R$ 99.999,96",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240127 - CETEM/MCTI,00004/2021,02.877.566/0001-21 - IBROWSE - CONSULTORIA & INFORMATICA LTDA,06/09/2021,10/03/2022,"R$ 451.374,00",6,"R$ 75.229,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240127 - CETEM/MCTI,00001/2021,02.877.566/0001-21 - IBROWSE - CONSULTORIA & INFORMATICA LTDA,09/03/2021,05/09/2021,"R$ 410.322,00",6,"R$ 68.387,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240127 - CETEM/MCTI,00007/2022,03.399.966/0001-31 - TECHCOM TECNOLOGIA E INFORMATICA LTDA,23/05/2022,23/05/2023,"R$ 864.619,80",12,"R$ 72.051,65",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240127 - CETEM/MCTI,00001/2021,02.877.566/0001-21 - IBROWSE - CONSULTORIA & INFORMATICA LTDA,09/03/2021,05/09/2021,"R$ 410.322,00",6,"R$ 68.387,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240127 - CETEM/MCTI,00003/2023,05.630.085/0001-05 - VICMA COMERCIO DE EQUIPAMENTOS PARA ESCRITORIO LTDA,01/07/2023,01/07/2024,"R$ 35.040,00",12,"R$ 2.920,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240128 - LNA/MCTI,00003/2022,11.777.618/0001-89 - WALAS STORE LTDA,03/10/2022,03/10/2023,"R$ 58.447,62",1,"R$ 58.447,62",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240128 - LNA/MCTI,00030/2023,22.310.432/0001-31 - RM SUPPLIES TECNOLOGIA LTDA,28/08/2023,28/08/2026,"R$ 27.500,00",1,"R$ 27.500,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240129 - CTI/MCTI,00372/2022,05.213.235/0001-85 - INTERQUATTRI INFORMATICA E TELECOMUNICACOES LTDA,06/01/2023,06/01/2026,"R$ 269.280,00",1,"R$ 269.280,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240129 - CTI/MCTI,00375/2022,07.157.915/0001-54 - ACC BRASIL INDUSTRIA E COMERCIO DE COMPUTADORES LTDA,06/01/2023,06/01/2026,"R$ 249.990,00",1,"R$ 249.990,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240129 - CTI/MCTI,00397/2024,30.949.272/0001-01 - GSTN TELECOMUNICACOES LTDA,27/11/2024,26/11/2025,"R$ 10.800,00",12,"R$ 900,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240129 - CTI/MCTI,00387/2023,"11.615.516/0001-67 - INOVA CONSULTORIA, CURSOS E EVENTOS LTDA",03/02/2024,02/02/2026,"R$ 30.000,00",1,"R$ 30.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240129 - CTI/MCTI,00373/2022,38.504.819/0001-69 - FRP COMERCIO E SERVICOS DE INFORMATICA LTDA,06/01/2023,06/01/2026,"R$ 18.000,00",1,"R$ 18.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240129 - CTI/MCTI,00385/2023,54.663.836/0001-03 - TRTEC INFORMATICA LTDA,17/11/2023,16/11/2025,"R$ 57.900,00",1,"R$ 57.900,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240137 - CETENE/MCTI,00020/2020,86.789.674/0001-32 - COMPULAB TECNOLOGIA LTDA,23/11/2020,22/11/2025,"R$ 177.804,67",12,"R$ 14.817,06",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240137 - CETENE/MCTI,00010/2022,81.243.735/0009-03 - POSITIVO TECNOLOGIA S.A.,09/12/2022,09/12/2023,"R$ 267.260,00",1,"R$ 267.260,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240137 - CETENE/MCTI,00002/2020,08.195.991/0001-17 - VERSATUS - SOLUCOES E SUPORTE EM REDES E COMPUTACAO DE ALTA PERFORMANCE LTDA,31/07/2020,30/07/2021,"R$ 69.981,21",12,"R$ 5.831,77",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240137 - CETENE/MCTI,00009/2022,08.195.991/0001-17 - VERSATUS - SOLUCOES E SUPORTE EM REDES E COMPUTACAO DE ALTA PERFORMANCE LTDA,01/11/2022,01/11/2025,"R$ 22.500,00",1,"R$ 22.500,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00031/2020,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,31/12/2020,29/06/2021,"R$ 644.640,00",1,"R$ 644.640,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00032/2020,01.259.682/0001-14 - FA LIMA INFORMATICA,31/12/2020,29/06/2021,"R$ 71.975,00",1,"R$ 71.975,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00012/2024,05.455.436/0001-99 - A. G. PALIS LTDA,22/11/2024,22/11/2025,"R$ 27.285,00",1,"R$ 27.285,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00036/2020,36.310.930/0001-99 - Y S DIAS COMERCIO DE PAPELARIA,31/12/2020,29/06/2021,"R$ 650,00",1,"R$ 650,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00013/2024,54.419.299/0001-42 - ROBSON DOS SANTOS ZANUTO LTDA,04/12/2024,04/12/2025,"R$ 59.730,00",1,"R$ 59.730,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00001/2024,89.237.911/0001-40 - GLOBAL DISTRIBUICAO DE BENS DE CONSUMO LTDA.,30/01/2024,30/01/2025,"R$ 54.504,00",1,"R$ 54.504,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00010/2021,07.171.299/0001-96 - CENTRAL IT TECNOLOGIA DA INFORMACAO S/A,22/07/2021,22/07/2022,"R$ 1.699.717,20",1,"R$ 1.699.717,20",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00035/2020,24.884.690/0001-57 - RAPHAEL SILVA ARAUJO,31/12/2020,29/06/2021,"R$ 13.040,00",1,"R$ 13.040,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00028/2021,08.437.917/0001-60 - TTI INFORMATICA REPRESENTACAO E CONSULTORIA LTDA,30/12/2021,28/06/2022,"R$ 519.800,00",1,"R$ 519.800,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00034/2020,10.190.017/0001-02 - EDMUR RODRIGUES SILVEIRA,31/12/2020,29/06/2021,"R$ 33.660,00",1,"R$ 33.660,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240224 - CEMADEN/MCTI,00033/2020,04.567.265/0001-27 - SCORPION INFORMATICA LTDA,31/12/2020,29/06/2021,"R$ 2.188,52",1,"R$ 2.188,52",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00023/2024,14.630.251/0001-64 - INTERCONTROLE SERVICOS ADMINISTRATIVOS EMPRESARIAIS LTDA,31/03/2025,31/03/2026,"R$ 26.800,00",1,"R$ 26.800,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00012/2022,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,10/10/2022,09/10/2023,"R$ 240.380,00",1,"R$ 240.380,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00001/2023,15.025.223/0001-80 - CATTEDRA SOLUCOES EM TI LTDA,20/01/2023,20/01/2024,"R$ 114.300,00",1,"R$ 114.300,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00020/2024,15.072.905/0001-44 - GR7 TECNOLOGIA LTDA,11/02/2025,11/02/2026,"R$ 57.990,00",1,"R$ 57.990,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00024/2024,06.185.990/0001-66 - SILVIO MANCUSI,27/01/2025,27/01/2026,"R$ 17.686,88",1,"R$ 17.686,88",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00009/2021,72.381.189/0010-01 - DELL COMPUTADORES DO BRASIL LTDA,15/04/2021,15/04/2022,"R$ 247.310,00",1,"R$ 247.310,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00019/2019,15.816.937/0001-07 - ERIDATA COMERCIO DE MATERIAIS ELETRONICOS LTDA,25/11/2019,25/11/2025,"R$ 251.958,84",1,"R$ 251.958,84",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00025/2021,04.892.991/0001-15 - TELTEC SOLUTIONS LTDA,26/11/2021,26/11/2022,"R$ 75.223,25",1,"R$ 75.223,25",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00001/2025,15.025.223/0001-80 - CATTEDRA SOLUCOES EM TI LTDA,28/02/2025,28/02/2026,"R$ 146.790,00",1,"R$ 146.790,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00018/2024,03.627.226/0001-05 - DSS SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA EM RECUPERACAO JUDICIAL,02/12/2024,02/12/2027,"R$ 957.000,00",1,"R$ 957.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00003/2021,05.352.726/0001-07 - SYSTEMSCOPY LTDA,01/03/2021,01/03/2026,"R$ 118.893,96",1,"R$ 118.893,96",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00030/2023,04.198.254/0001-17 - MCR SISTEMAS E CONSULTORIA LTDA,08/11/2023,08/11/2026,"R$ 293.660,65",1,"R$ 293.660,65",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00014/2024,12.477.490/0002-81 - LIDER NOTEBOOKS COMERCIO E SERVICOS LTDA,18/11/2024,18/11/2025,"R$ 521.380,00",1,"R$ 521.380,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00012/2024,19.615.240/0001-29 - E C DE S BULGARELLI LTDA,01/10/2024,01/10/2025,"R$ 7.780,00",1,"R$ 7.780,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00022/2024,03.984.954/0001-74 - MN TECNOLOGIA E TREINAMENTO LTDA,18/03/2025,18/03/2028,"R$ 53.460,00",1,"R$ 53.460,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240105 - INPA/MCTI,00013/2022,07.275.920/0001-61 - LENOVO TECNOLOGIA (BRASIL) LIMITADA,10/10/2022,09/10/2023,"R$ 229.950,00",1,"R$ 229.950,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00010/2025,07.094.346/0001-45 - G4F SOLUCOES CORPORATIVAS LTDA,30/04/2025,30/04/2026,"R$ 6.146.302,46",1,"R$ 6.146.302,46",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00007/2024,00.665.620/0001-40 - EFICACIA ORGANIZACAO LTDA,27/05/2024,27/05/2026,"R$ 26.950,00",1,"R$ 26.950,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00011/2025,04.929.322/0001-70 - LAYER TECNOLOGIA DA INFORMACAO LTDA,30/04/2025,30/04/2028,"R$ 936.000,00",36,"R$ 26.000,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00049/2022,"11.615.516/0001-67 - INOVA CONSULTORIA, CURSOS E EVENTOS LTDA",30/12/2022,30/12/2025,"R$ 30.000,00",12,"R$ 2.500,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00015/2022,57.142.978/0001-05 - BRASOFTWARE INFORMATICA LTDA,12/08/2022,12/08/2025,"R$ 3.648.061,50",1,"R$ 3.648.061,50",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00019/2021,04.602.789/0001-01 - DATEN TECNOLOGIA LTDA,31/12/2021,31/12/2022,"R$ 68.680,00",1,"R$ 68.680,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00030/2024,04.198.254/0001-17 - MCR SISTEMAS E CONSULTORIA LTDA,27/12/2024,27/12/2027,"R$ 613.745,00",1,"R$ 613.745,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00017/2021,05.673.799/0001-09 - PPN TECNOLOGIA E INFORMATICA LTDA,27/12/2021,27/12/2025,"R$ 329.259,90",1,"R$ 329.259,90",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00006/2025,33.683.111/0001-07 - SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),27/03/2025,27/03/2026,"R$ 418.314,53",1,"R$ 418.314,53",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00005/2025,01.628.251/0001-88 - ALUCOM LTDA,28/01/2025,28/01/2029,"R$ 1.068.410,64",48,"R$ 22.258,55",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00023/2023,33.683.111/0001-07 - SERVICO FEDERAL DE PROCESSAMENTO DE DADOS (SERPRO),05/12/2023,05/12/2025,"R$ 17.533,48",12,"R$ 1.461,12",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00024/2020,07.953.689/0001-18 - FAGUNDEZ DISTRIBUICAO LTDA,30/12/2020,30/12/2021,"R$ 397.676,00",12,"R$ 33.139,67",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00018/2021,22.797.545/0001-03 - LENOVO COMERCIAL E DISTRIBUICAO LIMITADA,31/12/2021,31/12/2022,"R$ 262.800,00",1,"R$ 262.800,00",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00006/2018,69.112.514/0001-35 - PRIMASOFT INFORMATICA LTDA.,10/04/2018,10/04/2023,"R$ 9.690,95",1,"R$ 9.690,95",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00004/2020,806030 - SERPRO - SEDE - BRASILIA,30/03/2020,30/03/2025,"R$ 521.854,01",12,"R$ 43.487,83",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00007/2021,11.777.162/0001-57 - BASIS TECNOLOGIA DA INFORMACAO S.A.,28/05/2021,28/05/2025,"R$ 15.191.718,00",12,"R$ 1.265.976,50",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00025/2020,81.243.735/0019-77 - POSITIVO TECNOLOGIA S.A.,31/12/2020,31/12/2021,"R$ 13.368.698,96",12,"R$ 1.114.058,25",Consulta Contratos Contratos.gov.br Min Ciencia 24000
"24000 - MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAC",240101 - COORD.GER.REC.LOG.,00033/2018,04.610.386/0001-04 - WORK LINK INFORMATICA LTDA,27/12/2018,27/12/2023,"R$ 5.337.098,02",12,"R$ 444.758,17",Consulta Contratos Contratos.gov.br Min Ciencia 24000
